videoid,beeid,colony,sched,caff,flowerid,timin,timeout,totaltime,totaltimeint,notes
B70_B3_61323_409_FR30_1,B70,B3,FR30,No,B2,6:23,6:45,0:22:00,22,B70_FR30_409
B70_B3_61323_409_FR30_1,B70,B3,FR30,No,B2,6:48,7:02,0:14:00,14,B70_FR30_409
B70_B3_61323_409_FR30_1,B70,B3,FR30,No,B2,7:04,7:19,0:15:00,15,B70_FR30_409
B70_B3_61323_409_FR30_1,B70,B3,FR30,No,B2,7:22,7:40,0:18:00,18,B70_FR30_409
B70_B3_61323_409_FR30_1,B70,B3,FR30,No,B2,7:43,8:02,0:19:00,19,B70_FR30_409
B70_B3_61323_409_FR30_1,B70,B3,FR30,No,B2,8:07,8:10,0:03:00,3,B70_FR30_409
G14_B3_62723_1124_FR30_1,G14,B3,FR30,No,B3,2:28,2:48,0:20:00,20,G14_FR30_1124*
G14_B3_62723_1124_FR30_1,G14,B3,FR30,No,B3,3:16,3:35,0:19:00,19,G14_FR30_1124
G14_B3_62723_1124_FR30_1,G14,B3,FR30,No,C4,4:11,4:21,0:10:00,10,G14_FR30_1124
G12_B3_62823_145_FR30_1,G12,B3,FR30,No,C4,1:38,3:24,1:46:00,106,G12_FR30_145*
G12_B3_62823_145_FR30_1,G12,B3,FR30,No,C4,3:29,4:14,0:45:00,45,G12_FR30_145*
G12_B3_62823_145_FR30_1,G12,B3,FR30,No,C4,4:20,4:48,0:28:00,28,G12_FR30_145*
G12_B3_62823_145_FR30_1,G12,B3,FR30,No,C4,5:02,5:32,0:30:00,30,G12_FR30_145*
G12_B3_62823_145_FR30_1,G12,B3,FR30,No,C4,5:40,5:57,0:17:00,17,G12_FR30_145*
G12_B3_62823_145_FR30_1,G12,B3,FR30,No,C4,6:00,6:12,0:12:00,12,G12_FR30_145*
G12_B3_62823_145_FR30_1,G12,B3,FR30,No,C4,6:21,6:42,0:21:00,21,G12_FR30_145*
G12_B3_62823_145_FR30_1,G12,B3,FR30,No,C4,6:45,7:03,0:18:00,18,G12_FR30_145*
G12_B3_62823_145_FR30_1,G12,B3,FR30,No,C4,7:05,7:21,0:16:00,16,G12_FR30_145*
G12_B3_62823_145_FR30_1,G12,B3,FR30,No,C4,7:24,7:50,0:26:00,26,G12_FR30_145*
G12_B3_62823_145_FR30_1,G12,B3,FR30,No,C4,7:53,8:13,0:20:00,20,G12_FR30_145*
G12_B3_62823_145_FR30_1,G12,B3,FR30,No,C4,8:15,8:33,0:18:00,18,G12_FR30_145*
G12_B3_62823_145_FR30_1,G12,B3,FR30,No,C4,8:40,8:58,0:18:00,18,G12_FR30_145*
G12_B3_62823_145_FR30_1,G12,B3,FR30,No,C4,9:00,9:18,0:18:00,18,G12_FR30_145*
G12_B3_62823_145_FR30_1,G12,B3,FR30,No,C4,9:27,9:38,0:11:00,11,G12_FR30_145*
G12_B3_62823_145_FR30_1,G12,B3,FR30,No,C4,9:40,9:42,0:02:00,2,G12_FR30_145*
G12_B3_62823_145_FR30_1,G12,B3,FR30,No,C4,10:13,10:14,0:01:00,1,G12_FR30_145*
B8_B3_52423_1138_FR45_1,B8,B3,FR45,No,A1,8:12,8:13,0:01:00,1,B8_FR45_1138       (bee name/mixture/time video taken) no caffeine
B8_B3_52423_1138_FR45_1,B8,B3,FR45,No,B3,7:12,7:13,0:01:00,1,B8_FR45_1138
B8_B3_52423_1138_FR45_1,B8,B3,FR45,No,C2,7:36,7:38,0:02:00,2,B8_FR45_1138
B8_B3_52423_1138_FR45_1,B8,B3,FR45,No,B3,2:18,2:30,0:12:00,12,B8_FR45_1138
B8_B3_52423_1138_FR45_1,B8,B3,FR45,No,B3,2:34,2:47,0:13:00,13,B8_FR45_1138
B8_B3_52423_1138_FR45_1,B8,B3,FR45,No,C3,0:33,0:56,0:23:00,23,B8_FR45_1138
B8_B3_52423_1138_FR45_1,B8,B3,FR45,No,C3,1:04,1:17,0:13:00,13,B8_FR45_1138
B8_B3_52423_1138_FR45_1,B8,B3,FR45,No,C3,1:23,1:36,0:13:00,13,B8_FR45_1138
B8_B3_52423_1138_FR45_1,B8,B3,FR45,No,C3,1:41,1:59,0:18:00,18,B8_FR45_1138
B8_B3_52423_1138_FR45_1,B8,B3,FR45,No,C3,3:06,3:21,0:15:00,15,B8_FR45_1138
B8_B3_52423_1138_FR45_1,B8,B3,FR45,No,C3,3:55,4:10,0:15:00,15,B8_FR45_1138
B8_B3_52423_1138_FR45_1,B8,B3,FR45,No,C3,4:15,4:35,0:20:00,20,B8_FR45_1138
B8_B3_52423_1138_FR45_1,B8,B3,FR45,No,C3,4:39,5:03,0:24:00,24,B8_FR45_1138
B8_B3_52423_1138_FR45_1,B8,B3,FR45,No,C3,5:08,5:29,0:21:00,21,B8_FR45_1138
B8_B3_52423_1138_FR45_1,B8,B3,FR45,No,C3,5:34,6:00,0:26:00,26,B8_FR45_1138
B8_B3_52423_1138_FR45_1,B8,B3,FR45,No,C3,6:06,6:28,0:22:00,22,B8_FR45_1138
B8_B3_52423_1138_FR45_1,B8,B3,FR45,No,C3,6:33,6:47,0:14:00,14,B8_FR45_1138
B8_B3_52423_1138_FR45_1,B8,B3,FR45,No,C3,6:55,6:57,0:02:00,2,B8_FR45_1138
B56_B3_52523_157_FR45_1,B56,B3,FR45,No,B1,1:40,2:00,0:20:00,20,B56_FR45_157 no caffeine
B56_B3_52523_157_FR45_1,B56,B3,FR45,No,B1,2:15,2:27,0:12:00,12,B56_FR45_157
B56_B3_52523_157_FR45_1,B56,B3,FR45,No,A2,2:59,3:15,0:16:00,16,B56_FR45_157
B56_B3_52523_157_FR45_1,B56,B3,FR45,No,A2,11:19,11:22,0:03:00,3,B56_FR45_157
